Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
1,1,2,1470060000,,
2,1,2,1470060000,,
3,1,2,1470060000,,
4,1,2,1470060000,,
5,1,2,1470060000,,
6,3,2,1470060000,,
7,3,2,1470060000,,
8,3,2,1470060000,,
9,4,2,1470060000,,
10,4,2,1470060000,,
11,1,16,1470060000,,
12,1,2,1470060000,,
13,4,2,1470060000,,
14,4,2,1470060000,,
15,1,2,1470060000,,
16,3,2,1470060000,,
17,1,16,1470060000,,
18,9,2,1470060000,,
19,3,2,1470060000,,
20,1,2,1470060000,,
21,2,2,1470060000,,
22,7,2,1470060000,,
23,7,2,1470060000,,
24,2,2,1470060000,,
25,9,2,1470060000,,
26,11,2,1470060000,,
27,4,2,1470060000,,
28,11,2,1470060000,,
29,12,2,1470060000,,
30,2,2,1470060000,,
31,7,2,1470060000,,
32,14,2,1470060000,,
33,7,2,1470060000,,
34,19,2,1470060000,,
35,7,2,1470060000,,
36,12,2,1470060000,,
37,4,2,1470060000,,
38,23,2,1470060000,,
39,15,2,1470060000,,
40,26,2,1470060000,,
41,27,2,1470060000,,
42,19,2,1470060000,,
43,10,2,1470060000,,
44,24,2,1470060000,,
45,32,2,1470060000,,
46,15,2,1470060000,,
47,18,2,1470060000,,
48,27,2,1470060000,,
49,26,2,1470060000,,
50,2,2,1470060000,,
51,9,2,1470060000,,
52,25,2,1470060000,,
53,36,2,1470060000,,
54,35,16,1470060000,,
55,17,2,1470060000,,
56,35,2,1470060000,,
57,32,2,1470060000,,
58,6,2,1470060000,,
59,36,2,1470060000,,
60,36,2,1470060000,,
61,12,2,1470060000,,
62,15,2,1470060000,,
63,33,2,1470060000,,
64,43,2,1470060000,,
65,9,2,1470060000,,
66,2,2,1470060000,,
67,40,16,1470060000,,
68,20,2,1470060000,,
69,10,2,1470060000,,
70,13,2,1470060000,,
71,44,2,1470060000,,
72,17,2,1470060000,,
73,5,3,1470060000,,
74,42,2,1470060000,,
75,35,2,1470060000,,
76,44,2,1470060000,,
77,40,2,1470060000,,
78,40,5,1470060000,78,
79,5,16,1470060000,,
80,10,2,1470060000,,
81,32,2,1470060000,,
82,10,5,1470060000,78,
83,14,1,1470060000,,
84,28,2,1470060000,,
85,28,2,1470060000,,
86,41,3,1470060000,,
87,46,2,1470060000,,
88,41,2,1470060000,,
89,43,2,1470060000,,
90,48,2,1470060000,,
91,35,2,1470060000,,
92,51,2,1470060000,,
93,42,2,1470060000,,
94,47,2,1470060000,,
95,46,3,1470060000,,
96,35,2,1470060000,,
97,35,5,1470060000,5,
98,17,2,1470060000,,
99,45,2,1470060000,,
100,10,2,1470060000,,
101,8,2,1470060000,,
104,35,5,1470060000,28,
105,5,2,1470060000,,
106,35,5,1470060000,77,
107,35,2,1470060000,,
108,65,2,1470060000,,
109,66,2,1470060000,,
110,58,2,1470060000,,
111,49,2,1470060000,,
112,15,2,1470060000,,
113,27,2,1470060000,,
114,39,2,1470060000,,
115,59,2,1470060000,,
116,71,2,1470060000,,
117,37,2,1470060000,,
118,73,2,1470060000,,
119,58,2,1470060000,,
120,40,2,1470060000,,
121,69,2,1470060000,,
122,76,2,1470060000,,
123,78,2,1470060000,,
124,70,2,1470060000,,
125,1,2,1470060000,,
126,82,16,1470060000,,
127,75,3,1470060000,,
128,39,2,1470060000,,
129,61,16,1470060000,,
130,81,2,1470060000,,
131,61,2,1470060000,,
132,36,2,1470060000,,
133,84,2,1470060000,,
134,87,2,1470060000,,
135,74,2,1470060000,,
136,80,2,1470060000,,
137,84,2,1470060000,,
138,86,2,1470060000,,
140,91,2,1470060000,,
141,90,10,1470060000,,
142,92,2,1470060000,,
143,92,5,1470060000,28,
144,93,2,1470060000,,
145,94,2,1470060000,,
